,Table 13,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
1472,,,Lincoln,2,0,0,0,0,0,0,1,1,0,
1473,,,New Hanover,2,0,0,0,0,0,1,1,0,0,
1474,,,Pitt,1,0,3,0,0,0,0,0,1,3,
1475,,,Wake,1,1,1,0,0,0,1,1,1,0,
1476,,,Wayne,1,0,0,0,0,0,0,0,0,1,
1477,,Nonmetropolitan Counties,,1,0,1,0,0,0,,,,,
1478,,,Greene,1,0,0,0,0,0,1,0,0,0,
1479,,,Martin,0,0,1,0,0,0,0,0,1,0,
1480,North Dakota,Total,,4,3,3,0,0,0,,,,,
1481,,Cities,,3,2,3,0,0,0,,,,,
1482,,,Bismarck,1,0,1,0,0,0,0,0,1,1,74644
1483,,,Devils Lake,0,0,1,0,0,0,0,0,1,0,7314
1484,,,Dickinson,1,0,0,0,0,0,0,0,1,0,22878
1485,,,Fargo,0,1,1,0,0,0,0,0,2,0,124906
1486,,,Grand Forks,0,1,0,0,0,0,0,0,0,1,57662
1487,,,Williston,1,0,0,0,0,0,0,1,0,0,27390
1488,,Universities and Colleges, ,1,0,0,0,0,0,,,,,
1489,,,University of North Dakota,1,0,0,0,0,0,1,0,0,0,18104
1490,,Metropolitan Counties, ,0,1,0,0,0,0,,,,,
1491,,,Morton,0,1,0,0,0,0,0,1,0,0,
1492,Ohio,Total,,218,40,54,32,2,4,,,,,
1493,,Cities,,187,29,48,31,1,4,,,,,
1494,,,Akron,5,0,2,1,0,0,0,2,5,1,197690
1495,,,Ashland,0,0,1,1,0,0,0,0,2,0,20446
1496,,,Austintown,0,0,1,0,0,0,0,0,1,0,35029
1497,,,Barberton,1,0,0,2,0,0,1,1,1,0,26060
1498,,,Bellefontaine,0,0,0,0,0,1,0,0,1,0,13137
1499,,,Boardman,1,0,0,0,0,0,1,0,0,0,39121
1500,,,Brunswick,1,0,0,0,0,0,0,1,0,0,34954
1501,,,Canton,2,0,0,0,0,0,0,0,2,0,70605
1502,,,Cincinnati,24,4,2,0,0,0,10,6,7,7,301952
1503,,,Circleville,0,1,0,0,0,0,0,0,1,0,13993
1504,,,Cleveland,25,4,3,4,1,1,7,5,11,15,384666
1505,,,Colerain Township,1,0,0,0,0,0,0,1,0,0,59312
1506,,,Columbus,42,6,19,4,0,0,11,23,22,15,873582
1507,,,Copley Township,1,0,0,1,0,0,1,0,1,,17307
1508,,,Dayton,2,1,0,0,0,0,0,1,2,0,140094
1509,,,Defiance,0,0,0,0,0,1,0,1,0,0,16620
1510,,,Delaware,0,1,0,0,0,0,1,0,0,0,39944
1511,,,Delhi Township,0,0,1,0,0,0,0,1,0,0,29700
1512,,,Elyria,0,0,1,0,0,0,1,0,,,53796
